"Date","Citations","Cited Pages"
"2/28/2026 12:00:00 AM","0","0"
"3/1/2026 12:00:00 AM","0","0"
"3/2/2026 12:00:00 AM","0","0"
"3/3/2026 12:00:00 AM","0","0"
"3/4/2026 12:00:00 AM","0","0"
"3/5/2026 12:00:00 AM","0","0"
"3/6/2026 12:00:00 AM","0","0"
"3/7/2026 12:00:00 AM","1","1"
"3/8/2026 12:00:00 AM","0","0"
"3/9/2026 12:00:00 AM","0","0"
"3/10/2026 12:00:00 AM","0","0"
"3/11/2026 12:00:00 AM","0","0"
"3/12/2026 12:00:00 AM","0","0"
"3/13/2026 12:00:00 AM","0","0"
"3/14/2026 12:00:00 AM","0","0"
"3/15/2026 12:00:00 AM","0","0"
"3/16/2026 12:00:00 AM","0","0"
"3/17/2026 12:00:00 AM","0","0"
"3/18/2026 12:00:00 AM","0","0"
"3/19/2026 12:00:00 AM","0","0"
"3/20/2026 12:00:00 AM","1","1"
"3/21/2026 12:00:00 AM","0","0"
"3/22/2026 12:00:00 AM","0","0"
"3/23/2026 12:00:00 AM","0","0"
"3/24/2026 12:00:00 AM","0","0"
"3/25/2026 12:00:00 AM","0","0"
"3/26/2026 12:00:00 AM","0","0"
"3/27/2026 12:00:00 AM","0","0"
"3/28/2026 12:00:00 AM","0","0"
"3/29/2026 12:00:00 AM","0","0"
"3/30/2026 12:00:00 AM","1","1"
"3/31/2026 12:00:00 AM","1","1"
"4/1/2026 12:00:00 AM","0","0"
"4/2/2026 12:00:00 AM","0","0"
"4/3/2026 12:00:00 AM","0","0"
"4/4/2026 12:00:00 AM","0","0"
"4/5/2026 12:00:00 AM","0","0"
"4/6/2026 12:00:00 AM","0","0"
"4/7/2026 12:00:00 AM","0","0"
"4/8/2026 12:00:00 AM","0","0"
"4/9/2026 12:00:00 AM","0","0"
"4/10/2026 12:00:00 AM","0","0"
"4/11/2026 12:00:00 AM","0","0"
"4/12/2026 12:00:00 AM","0","0"
"4/13/2026 12:00:00 AM","0","0"
"4/14/2026 12:00:00 AM","2","1"
"4/15/2026 12:00:00 AM","1","1"
"4/16/2026 12:00:00 AM","0","0"
"4/17/2026 12:00:00 AM","0","0"
"4/18/2026 12:00:00 AM","0","0"
"4/19/2026 12:00:00 AM","0","0"
"4/20/2026 12:00:00 AM","0","0"
"4/21/2026 12:00:00 AM","9","1"
"4/22/2026 12:00:00 AM","0","0"
"4/23/2026 12:00:00 AM","7","1"
"4/24/2026 12:00:00 AM","0","0"
"4/25/2026 12:00:00 AM","4","1"
"4/26/2026 12:00:00 AM","11","2"
"4/27/2026 12:00:00 AM","0","0"
"4/28/2026 12:00:00 AM","0","0"
"4/29/2026 12:00:00 AM","0","0"
"4/30/2026 12:00:00 AM","0","0"
"5/1/2026 12:00:00 AM","6","2"
"5/2/2026 12:00:00 AM","0","0"
"5/3/2026 12:00:00 AM","0","0"
"5/4/2026 12:00:00 AM","0","0"
"5/5/2026 12:00:00 AM","2","1"
"5/6/2026 12:00:00 AM","0","0"
"5/7/2026 12:00:00 AM","2","1"
"5/8/2026 12:00:00 AM","5","1"
"5/9/2026 12:00:00 AM","19","4"
"5/10/2026 12:00:00 AM","0","0"
"5/11/2026 12:00:00 AM","11","2"
"5/12/2026 12:00:00 AM","0","0"
"5/13/2026 12:00:00 AM","9","2"
"5/14/2026 12:00:00 AM","4","1"
"5/15/2026 12:00:00 AM","8","2"
"5/16/2026 12:00:00 AM","7","2"
"5/17/2026 12:00:00 AM","7","2"
"5/18/2026 12:00:00 AM","8","2"
"5/19/2026 12:00:00 AM","18","3"
"5/20/2026 12:00:00 AM","41","3"
"5/21/2026 12:00:00 AM","41","1"
"5/22/2026 12:00:00 AM","35","1"
"5/23/2026 12:00:00 AM","24","1"
"5/24/2026 12:00:00 AM","30","3"
"5/25/2026 12:00:00 AM","13","2"
"5/26/2026 12:00:00 AM","34","3"
"5/27/2026 12:00:00 AM","49","4"
"5/28/2026 12:00:00 AM","9","1"
