keyword,current_sv,first3_avg,last3_avg,yoy_pct,peak,peak_month,nonzero_months,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04
aeo,3600,3366.7,3866.7,14.9,4400,2026-03,12,3600,2900,3600,2400,3600,2900,3600,2900,3600,3600,4400,3600
aeo audit,20,13.3,20.0,50.0,30,2026-04,12,20,10,10,10,10,20,10,10,20,10,20,30
aeo beratung,10,0.0,6.7,new,10,2025-08,7,0,0,0,10,10,0,10,10,10,10,10,0
aeo hamburg,10,6.7,10.0,50.0,10,2025-06,7,0,10,10,10,0,0,0,0,10,10,10,10
aeo marketing,70,30.0,113.3,277.8,140,2026-03,12,30,30,30,40,40,50,50,50,70,90,140,110
aeo optimierung,30,3.3,46.7,1300.0,50,2026-03,10,0,0,10,10,20,40,30,30,30,40,50,50
aeo seo,140,96.7,183.3,89.7,210,2026-03,12,70,110,110,90,110,140,140,110,140,170,210,170
aeo vs geo,30,10.0,46.7,366.7,50,2026-03,12,10,10,10,10,20,10,30,30,30,40,50,50
aeo vs seo,50,43.3,63.3,46.2,70,2025-09,12,30,50,50,50,70,50,50,40,50,50,70,70
ai seo audit,10,10.0,10.0,0.0,40,2025-08,12,10,10,10,40,10,10,10,10,10,10,10,10
ai seo service,30,10.0,40.0,300.0,90,2026-01,12,10,10,10,10,10,30,20,70,90,40,30,50
ai visibility,110,36.7,153.3,318.2,210,2026-01,12,20,40,50,90,70,90,90,140,210,110,210,140
ai visibility agency,10,0.0,3.3,new,10,2026-02,1,0,0,0,0,0,0,0,0,0,10,0,0
ai visibility audit,10,6.7,10.0,50.0,20,2025-11,11,0,10,10,10,10,10,20,10,20,10,10,10
ai visibility monitoring,10,3.3,13.3,300.0,20,2026-03,10,0,0,10,10,10,10,10,10,10,10,20,10
ai visibility optimization,10,13.3,10.0,-25.0,20,2025-07,12,10,10,20,20,10,20,10,10,10,10,10,10
ai visibility report,10,3.3,10.0,200.0,10,2025-07,9,0,0,10,10,10,0,10,10,10,10,10,10
ai visibility tool,70,20.0,143.3,616.7,210,2026-04,12,10,20,30,20,20,50,40,70,90,110,110,210
